,1,2,3,4,5,6,7,8,9,10
1,60,70,80,90,100,110,120,130,140,150
2,50,60,70,80,90,100,110,120,130,140
3,40,50,60,70,80,90,100,110,120,130
4,30,40,50,60,70,80,90,100,110,120
5,20,30,40,50,60,70,80,90,100,110
6,10,20,30,40,50,60,70,80,90,100
7,5,10,20,30,40,50,60,70,80,90


,10,9,8,7,6,5,4,3,2,1
7,60,70,80,90,100,110,120,130,140,150
6,50,60,70,80,90,100,110,120,130,140
5,40,50,60,70,80,90,100,110,120,130
4,30,40,50,60,70,80,90,100,110,120
3,20,30,40,50,60,70,80,90,100,110
2,10,20,30,40,50,60,70,80,90,100
1,5,10,20,30,40,50,60,70,80,90
